word,lemma,freq
listened,listen,250
card,card,250
fill,fill,250
branches,branch,250
ways,way,248
slide,slide,248
daniel,daniel,248
imagine,imagine,248
broke,break,247
send,send,247
calls,call,247
soup,soup,247
rooster,rooster,247
entire,entire,247
glow,glow,246
scare,scare,246
creature,creature,246
drive,drive,246
nine,nine,245
emily,emily,245
bug,bug,244
learning,learn,244
finish,finish,244
uncle,uncle,243
spell,spell,243
mudge,mudge,242
seat,seat,242
point,point,242
dig,dig,242
piggy,piggy,242
lose,lose,241
hours,hour,241
hang,hang,241
shadow,shadow,241
bridge,bridge,241
plants,plant,241
balloon,balloon,241
buzz,buzz,241
feathers,feather,241
author,author,241
beside,beside,240
sharp,sharp,240
lightning,lightning,240
clap,clap,240
hearts,heart,240
bill,bill,239
jane,jane,238
sunny,sunny,238
monkeys,monkey,238
bats,bat,238
brush,brush,237
dittle,dittle,237
colorful,colorful,237
plenty,plenty,237
cook,cook,237
minutes,minute,237
description,description,237
claws,claw,236
bobby,bobby,235
beep,beep,235
mailbox,mailbox,235
fingers,finger,234
nearby,nearby,234
rushed,rush,234
crying,cry,234
finds,find,233
awake,awake,233
bike,bike,233
smiling,smile,233
fred,fred,232
dragons,dragon,232
steps,step,232
leprechaun,leprechaun,231
beneath,beneath,231
gasped,gasp,231
pirates,pirate,231
power,power,231
sticky,sticky,231
weather,weather,230
charlie,charlie,229
parade,parade,229
upset,upset,229
click,click,229
dot,dot,229
flies,fly,229
sarah,sarah,228
holiday,holiday,228
planet,planet,228
barn,barn,228
hugs,hug,227
worse,bad,227
eve,eve,227
lesson,lesson,227
choose,choose,226
raced,race,226
penguin,penguin,226
popped,pop,226
hurried,hurry,225
somewhere,somewhere,225
none,none,225
jumping,jump,225
dead,dead,224
rosie,rosie,224
fruit,fruit,224
meow,meow,223
touch,touch,223
mountains,mountain,222
merry,merry,222
weeks,week,222
starting,start,222
goose,goose,222
country,country,222
dust,dust,222
higher,high,221
bee,bee,221
cousin,cousin,221
bump,bump,220
sticks,stick,220
rope,rope,220
neck,neck,220
using,use,220
square,square,219
laughter,laughter,219
sniff,sniff,219
butterflies,butterfly,219
crayons,crayon,219
feelings,feeling,219
playground,playground,218
names,name,218
painting,painting,218
knocked,knock,218
bees,bee,217
glasses,glass,217
crash,crash,217
smiles,smile,217
picnic,picnic,216
feed,feed,216
burst,burst,215
m,m,213
truth,truth,213
slipped,slip,213
chapter,chapter,213
francine,francine,213
machine,machine,213
themselves,themselves,213
slept,sleep,212
abuela,abuela,212
nope,nope,212
letters,letter,212
wrapped,wrap,212
puts,put,212
cards,card,211
bubble,bubble,211
patch,patch,211
bones,bone,211
skin,skin,211
e,e,211
less,less,211
tower,tower,211
brain,brain,210
spoke,speak,210
arm,arm,210
ducks,duck,210
biscuit,biscuit,210
sighed,sigh,210
wash,wash,209
crunch,crunch,209
snail,snail,209
deer,deer,209
won,win,209
